"","mean_O2ml_L","mean_O2Sat","mean_T_degC","mean_Salnty","mean_ChlorA","mean_PO4uM","Depth_zone","Water_density_class"
"2034",5.7925,99.425,14.3175,33.36275,0.445,0.41,"Shallow","Light"
"2035",4.43857142857143,73.0285714285714,12.0671428571429,33.525,0.14,1.07,"Intermediate","Light"
"2036",1.813125,27.75625,8.22125,34.10375,0.002,2.421875,"Deep","Intermediate"
"2037",5.896,100.94,14.228,33.2448,0.45,0.36,"Very shallow","Light"
"2038",5.89,100.7,14.1557142857143,33.2568571428571,0.454285714285714,0.367142857142857,"Shallow","Light"
"2039",4.98285714285714,81.6714285714286,11.9242857142857,33.4002857142857,0.111428571428571,0.902857142857143,"Intermediate","Light"
"2040",1.81533333333333,27.7,7.95533333333333,34.0804,0.008,2.45266666666667,"Deep","Intermediate"
"2041",5.895,101.8,14.675,33.188,0.44,0.3475,"Very shallow","Light"
"2042",5.902,101.18,14.294,33.2468,0.612,0.352,"Shallow","Light"
"2043",5.39166666666667,90.25,13.02,33.3981666666667,0.265,0.631666666666667,"Intermediate","Light"
"2044",2.4425,37.3125,8.079375,33.9529375,0.018,2.221875,"Deep","Intermediate"
"2045",5.77,101.1,15.352,33.2894,0.226,0.324,"Very shallow","Light"
"2046",5.792,101.06,15.162,33.257,0.226,0.32,"Shallow","Light"
"2047",5.73166666666667,99.7333333333333,15.0183333333333,33.3025,0.256666666666667,0.331666666666667,"Intermediate","Light"
"2048",2.903125,45.8125,8.92875,33.88025,0.04,1.943125,"Deep","Intermediate"
"2049",5.78,100.5,15.01,33.2434,0.276,0.344,"Very shallow","Light"
"2050",5.78,100.55,15.0125,33.245,0.28,0.33,"Shallow","Light"
"2051",5.66285714285714,97.3142857142857,14.4042857142857,33.2968571428571,0.177142857142857,0.405714285714286,"Intermediate","Light"
"2052",2.78588235294118,43.2823529411765,8.52176470588235,33.8656470588235,0.04,2.03647058823529,"Deep","Intermediate"
"2053",5.80666666666667,100.966666666667,14.945,33.4051666666667,0.523333333333333,0.333333333333333,"Very shallow","Light"
"2054",5.74666666666667,99.7166666666667,14.8283333333333,33.417,0.53,0.356666666666667,"Shallow","Light"
"2055",4.20857142857143,69.1285714285714,12.0714285714286,33.5362857142857,0.0985714285714286,1.13285714285714,"Intermediate","Light"
"2056",2.285,34.7,7.84375,33.9865625,0.008,2.275625,"Deep","Intermediate"
"2057",5.76,101.4,15.59,33.291,0.166,0.314,"Very shallow","Light"
"2058",5.7675,101.225,15.4475,33.2785,0.205,0.3175,"Shallow","Light"
"2059",5.65666666666667,98.1833333333333,14.86,33.3698333333333,0.181666666666667,0.361666666666667,"Intermediate","Light"
"2060",2.6825,41.625,8.31875,33.921875,0.024,2.08125,"Deep","Intermediate"
"2061",5.6925,100.7,15.8325,33.314,0.1675,0.3025,"Very shallow","Light"
"2062",5.694,100.78,15.842,33.3406,0.172,0.3,"Shallow","Light"
"2063",5.69428571428571,99.9,15.4128571428571,33.3587142857143,0.208571428571429,0.318571428571429,"Intermediate","Light"
"2064",3.24352941176471,50.8529411764706,8.76,33.8173529411765,0.0533333333333333,1.83823529411765,"Deep","Light"
"2065",5.61,101.18,16.752,33.5302,0.13,0.28,"Very shallow","Light"
"2066",5.63,101.183333333333,16.5683333333333,33.512,0.153333333333333,0.27,"Shallow","Light"
"2067",5.56,98.5125,15.8075,33.649875,0.1775,0.29375,"Intermediate","Light"
"2068",3.25411764705882,52.0352941176471,9.35941176470588,33.9161176470588,0.05,1.75647058823529,"Deep","Intermediate"
"2069",5.68833333333333,101.75,16.3666666666667,33.363,0.1325,0.2975,"Very shallow","Light"
"2070",5.6875,101.375,16.195,33.37175,0.1725,0.29,"Shallow","Light"
"2071",5.66714285714286,100.585714285714,15.9685714285714,33.4275714285714,0.205714285714286,0.294285714285714,"Intermediate","Light"
"2072",3.17176470588235,51.0882352941176,9.69411764705882,33.9049411764706,0.0666666666666667,1.75,"Deep","Light"
"2073",5.606,100.96,16.666,33.5166,0.13,0.28,"Very shallow","Light"
"2074",5.6,101.02,16.734,33.573,0.132,0.27,"Shallow","Light"
"2075",5.57857142857143,100.442857142857,16.63,33.6372857142857,0.195714285714286,0.264285714285714,"Intermediate","Light"
"2076",3.206875,51.45,9.395,33.92975,0.068,1.764375,"Deep","Light"
"2077",5.7575,100.975,15.4175,33.2525,0.2125,0.32,"Very shallow","Light"
"2078",5.7375,100.475,15.3425,33.26775,0.29,0.32,"Shallow","Light"
"2079",5.60285714285714,96.5714285714286,14.5242857142857,33.2988571428571,0.215714285714286,0.407142857142857,"Intermediate","Light"
"2080",2.96117647058824,45.6588235294118,8.13941176470588,33.8721176470588,0.025,2.00470588235294,"Deep","Intermediate"
"2081",5.778,101.28,15.382,33.281,0.212,0.32,"Very shallow","Light"
"2082",5.775,100.983333333333,15.2566666666667,33.2853333333333,0.3,0.318333333333333,"Shallow","Light"
"2083",5.36142857142857,90.2714285714286,13.33,33.3237142857143,0.184285714285714,0.587142857142857,"Intermediate","Light"
"2084",2.35875,35.90625,7.71375,33.919375,0.02,2.268125,"Deep","Intermediate"
"2085",5.734,101.48,15.836,33.3414,0.162,0.3,"Very shallow","Light"
"2086",5.7375,100.975,15.5725,33.30175,0.2075,0.31,"Shallow","Light"
"2087",5.69333333333333,99.1,15.0557142857143,33.3727142857143,0.208333333333333,0.346666666666667,"Intermediate","Light"
"2088",3.15764705882353,49.3294117647059,8.66117647058823,33.8608235294118,0.03,1.88058823529412,"Deep","Intermediate"
"2089",5.806,100.82,14.956,33.1416,0.246,0.314,"Very shallow","Light"
"2090",5.804,100.52,14.836,33.1456,0.318,0.32,"Shallow","Light"
"2091",5.73333333333333,97.3833333333333,13.845,33.2278333333333,0.136666666666667,0.415,"Intermediate","Light"
"2092",2.87176470588235,44.3588235294118,8.25117647058824,33.8412352941176,0.0214285714285714,2.02470588235294,"Deep","Intermediate"
"2093",5.8475,101.45,14.8875,33.19575,0.41,0.3125,"Very shallow","Light"
"2094",5.915,100.625,13.94625,33.181,0.5325,0.36875,"Shallow","Light"
"2095",5.312,87.72,12.374,33.3234,0.108,0.708,"Intermediate","Light"
"2096",2.422,36.5333333333333,7.47733333333333,33.9297333333333,0.008,2.286,"Deep","Intermediate"
"2097",5.856,101.62,14.914,33.141,0.37,0.32,"Very shallow","Light"
"2098",5.882,101,14.398,33.1822,0.49,0.348,"Shallow","Light"
"2099",5.51714285714286,92.2428571428571,12.98,33.3968571428571,0.215714285714286,0.594285714285714,"Intermediate","Light"
"2100",2.62,39.8117647058824,7.83352941176471,33.9338823529412,0.01,2.17941176470588,"Deep","Intermediate"
"2101",6,101.925,13.875,33.208,1.0275,0.37,"Very shallow","Light"
"2102",5.816,98.84,13.84,33.33,0.528,0.408,"Shallow","Light"
"2103",4.615,75.5,11.8616666666667,33.5276666666667,0.0616666666666667,0.995,"Intermediate","Intermediate"
"2104",2.19466666666667,33.22,7.73066666666667,34.0045333333333,0.008,2.348,"Deep","Intermediate"
"2105",5.906,100.32,13.844,33.2574,0.924,0.418,"Very shallow","Light"
"2106",5.54142857142857,92.5142857142857,12.96,33.3491428571429,0.411428571428571,0.62,"Shallow","Light"
"2107",4.258,67.8,10.656,33.5234,0.092,1.284,"Intermediate","Intermediate"
"2108",1.86125,28.31875,8.051875,34.07825,0.002,2.411875,"Deep","Intermediate"
"2109",5.80666666666667,100.066666666667,14.5533333333333,33.224,0.876666666666667,0.373333333333333,"Very shallow","Light"
"2110",5.69571428571429,98.3142857142857,14.5828571428571,33.3865714285714,0.53,0.404285714285714,"Shallow","Light"
"2111",4.33857142857143,71.7142857142857,12.29,33.5304285714286,0.0914285714285714,1.07857142857143,"Intermediate","Light"
"2112",1.874375,28.89375,8.549375,34.0825625,0.008,2.36875,"Deep","Intermediate"
"2113",5.794,99.9,14.554,33.2914,0.714,0.372,"Very shallow","Light"
"2114",5.724,98.58,14.484,33.3462,0.428,0.392,"Shallow","Light"
"2115",4.635,77.025,12.6475,33.46125,0.13,0.9425,"Intermediate","Light"
"2116",2.66111111111111,41.8111111111111,9.94666666666667,33.9362222222222,0.01,1.95222222222222,"Deep","Intermediate"
"2117",5.845,101.05,14.6975,33.33525,2.015,0.3675,"Very shallow","Light"
"2118",5.715,98.55,14.545,33.361,0.4875,0.395,"Shallow","Light"
"2119",4.62333333333333,76.9333333333333,12.6783333333333,33.4775,0.101666666666667,0.921666666666667,"Intermediate","Light"
"2120",2.03666666666667,31.3,8.36866666666667,34.0400666666667,0.016,2.316,"Deep","Intermediate"
"2121",5.828,100.76,14.792,32.9138,2.954,0.506,"Very shallow","Light"
"2122",5.74,99.1,14.622,33.3042,0.498,0.422,"Shallow","Light"
"2123",5.52,94.7,14.31,33.382,0.2,0.5,"Intermediate","Light"
"2124",5.71166666666667,98.2833333333333,14.6,32.8331666666667,1.64,0.536666666666667,"Very shallow","Light"
"2125",5.59333333333333,96.3,14.5566666666667,33.1203333333333,0.313333333333333,0.523333333333333,"Shallow","Light"
"2126",5.665,97.65,14.625,33.03075,0.8325,0.5075,"Very shallow","Light"
"2127",5.56,95.7166666666667,14.4916666666667,33.2641666666667,0.233333333333333,0.486666666666667,"Shallow","Light"
"2128",3.93,65.4,12.524,33.584,0.108,1.204,"Intermediate","Light"
"2129",1.843125,28.5625,8.769375,34.088625,0.008,2.35625,"Deep","Intermediate"
"2130",5.83,100.35,14.49,33.277,0.565,0.36,"Very shallow","Light"
"2131",5.69857142857143,97.3142857142857,14.0771428571429,33.3285714285714,0.275714285714286,0.421428571428571,"Shallow","Light"
"2132",4.49857142857143,73.1428571428571,11.6571428571429,33.4671428571429,0.08,1.07428571428571,"Intermediate","Intermediate"
"2133",1.9,29.025,8.185625,34.068125,0.01,2.376875,"Deep","Intermediate"
"2134",5.97333333333333,101.133333333333,13.6966666666667,33.222,0.91,0.42,"Very shallow","Light"
"2135",5.078,83.86,12.392,33.395,0.304,0.828,"Shallow","Light"
"2136",3.772,59.3,10.078,33.6048,0.058,1.54,"Intermediate","Intermediate"
"2137",1.751875,26.55,7.973125,34.1035,0.002,2.468125,"Deep","Intermediate"
"2138",5.9925,101.75,13.8075,33.26825,0.6975,0.435,"Very shallow","Light"
"2139",5.83,98.3,13.465,33.3195,0.415,0.476666666666667,"Shallow","Light"
